"","legacy_project_id","legacy_user_id","project_role"
"322",54,167,NA
"323",34,168,NA
"324",124,169,NA
"325",19,169,"Co-Supervisor"
"326",116,169,NA
"327",39,170,NA
"328",43,170,NA
"329",84,171,NA
"330",108,172,NA
"331",117,173,NA
"332",46,174,NA
"333",38,175,NA
"334",119,176,NA
"335",32,177,NA
"336",98,177,NA
"337",102,178,NA
"338",77,179,NA
"339",8,180,NA
"340",129,181,NA
"341",10,182,NA
"342",35,183,NA
"343",2,184,NA
"344",77,185,NA
"345",49,186,NA
"346",120,187,NA
"347",48,187,NA
"348",131,187,NA
"349",21,187,NA
"350",84,187,NA
"351",85,187,NA
"352",74,188,NA
"353",25,189,NA
"354",108,190,NA
"355",29,191,NA
"356",82,192,NA
"357",83,192,NA
"358",108,192,NA
"359",118,192,NA
"360",119,192,NA
"361",105,193,NA
"362",53,193,NA
"363",120,193,NA
"364",128,193,NA
"365",38,193,NA
"366",13,193,"Supervisor"
"367",100,193,"Supervisor"
"368",45,193,"Supervisor"
"369",54,193,NA
"370",131,193,NA
"371",17,193,NA
"372",88,193,NA
"373",111,193,NA
"374",117,193,NA
"375",69,194,NA
"376",78,195,NA
"377",110,196,NA
"378",2,197,NA
"379",77,197,NA
"380",103,197,NA
"381",7,198,NA
"382",8,198,NA
"383",129,199,NA
"384",35,200,NA
"385",86,201,NA
"386",77,202,NA
"387",1,202,NA
"388",8,202,NA
"389",16,202,NA
"390",25,202,NA
"391",32,202,NA
"392",79,202,NA
"393",80,202,NA
"394",98,202,NA
"395",67,203,NA
"396",35,204,NA
"397",38,205,NA
"398",113,206,NA
"399",73,207,NA
"400",92,207,NA
"401",93,207,NA
"402",94,207,NA
"403",4,207,NA
"404",11,208,NA
"405",45,209,"Collaborator"
"406",116,209,NA
"407",19,209,"Ph.D. Student"
"408",31,209,"Ph.D. Student"
"409",69,210,NA
"410",91,211,NA
"411",8,212,NA
"412",73,213,NA
"413",104,214,NA
"414",35,215,NA
"415",42,216,"Malaysian Collaborator"
"416",96,216,NA
"417",101,217,NA
"418",23,218,NA
"419",14,219,NA
"420",16,219,NA
"421",26,219,NA
"422",82,219,NA
"423",86,219,NA
"424",108,219,NA
"425",118,219,NA
"426",119,219,NA
"427",125,219,NA
"428",9,221,NA
"429",23,220,NA
"430",57,221,NA
