"Project","legacy_user_id","Position","coord"
"SAFE-PRJ-1",86,"Collaborator",FALSE
"SAFE-PRJ-1",207,"Lead Researcher",FALSE
"SAFE-PRJ-1",174,"Collaborator",FALSE
"SAFE-PRJ-1",61,"Collaborator",FALSE
"SAFE-PRJ-1",195,"Post Doc",FALSE
"SAFE-PRJ-1",58,"Collaborator",FALSE
"SAFE-PRJ-1",57,"Lead Researcher",TRUE
"SAFE-PRJ-1",45,"Collaborator",FALSE
"SAFE-PRJ-1",92,"Collaborator",FALSE
"SAFE-PRJ-1",102,"Collaborator",FALSE
"SAFE-PRJ-1",15,"Collaborator",FALSE
"SAFE-PRJ-10",12,"Malaysian Collaborator",FALSE
"SAFE-PRJ-10",26,"Lead Researcher",TRUE
"SAFE-PRJ-10",57,"Supervisor",FALSE
"SAFE-PRJ-100",12,"Lead Researcher",TRUE
"SAFE-PRJ-100",24,"Collaborator",FALSE
"SAFE-PRJ-100",222,"Collaborator",FALSE
"SAFE-PRJ-101",185,"Collaborator",FALSE
"SAFE-PRJ-101",82,"Lead Researcher",TRUE
"SAFE-PRJ-101",146,"Malaysian Collaborator",FALSE
"SAFE-PRJ-101",198,"Collaborator",FALSE
"SAFE-PRJ-101",110,"Collaborator",FALSE
"SAFE-PRJ-101",137,"Collaborator",FALSE
"SAFE-PRJ-101",60,"Collaborator",FALSE
"SAFE-PRJ-102",19,"PhD Student",TRUE
"SAFE-PRJ-102",57,"Supervisor",FALSE
"SAFE-PRJ-102",30,"Supervisor",FALSE
"SAFE-PRJ-103",33,"Collaborator",FALSE
"SAFE-PRJ-103",202,"Lead Researcher",TRUE
"SAFE-PRJ-104",196,"Collaborator",FALSE
"SAFE-PRJ-104",141,"Collaborator",FALSE
"SAFE-PRJ-104",146,"Malaysian Collaborator",FALSE
"SAFE-PRJ-104",182,"Collaborator",FALSE
"SAFE-PRJ-104",198,"Collaborator",FALSE
"SAFE-PRJ-104",110,"Collaborator",FALSE
"SAFE-PRJ-104",137,"Lead Researcher",TRUE
"SAFE-PRJ-104",60,"Collaborator",FALSE
"SAFE-PRJ-105",37,"Malaysian Collaborator",FALSE
"SAFE-PRJ-105",131,"Collaborator",FALSE
"SAFE-PRJ-105",193,"Collaborator",FALSE
"SAFE-PRJ-105",163,"PhD Student",TRUE
"SAFE-PRJ-105",113,"Supervisor",FALSE
"SAFE-PRJ-106",12,"Supervisor",FALSE
"SAFE-PRJ-106",126,"MSc Student",TRUE
"SAFE-PRJ-106",199,"Supervisor",FALSE
"SAFE-PRJ-107",193,"Collaborator",FALSE
"SAFE-PRJ-107",12,"Malaysian Collaborator",FALSE
"SAFE-PRJ-107",199,"Collaborator",FALSE
"SAFE-PRJ-107",51,"PhD Student",TRUE
"SAFE-PRJ-107",177,"Supervisor",FALSE
"SAFE-PRJ-108",193,"Collaborator",FALSE
"SAFE-PRJ-108",12,"Malaysian Collaborator",FALSE
